#         t          x          y          z         vx         vy         vz
      0.000     -1.990      2.870     -1.450      0.240      7.990     -1.660
     71.429     -1.750      3.080     -1.490     -0.570      6.690     -0.780
    142.857     -1.890      3.220     -1.570     -4.900      9.980     -0.930
    214.286     -2.240      3.480     -1.600     -3.280      7.950     -0.060
    285.714     -2.450      3.780     -1.610     -5.400      7.320      0.430
    357.143     -2.860      4.120     -1.520     -8.100      6.760      0.270
    428.571     -3.400      4.800     -1.650     -7.230     14.120     -2.280
    500.000     -3.570      5.570     -1.830     -3.390      9.310     -3.530
    571.429     -3.670      6.110     -2.040     -4.510      5.220     -2.430
    642.857     -4.050      6.600     -2.160     -6.950      5.060     -1.440
    714.286     -4.070      7.000     -2.220     -7.190      6.650     -1.650
    785.714     -4.500      7.620     -2.570     -7.840     10.920     -6.700
    857.143     -5.190      8.340     -3.180    -10.650      6.800     -9.050
    928.571     -5.940      9.140     -3.730    -12.390     10.790     -8.630
   1000.000     -6.560     10.330     -4.310     -5.060     12.740     -8.260
   1071.429     -6.940     11.050     -4.880     -5.400     11.460    -10.120
   1142.857     -7.450     12.040     -5.610     -6.980     17.010    -12.040
   1214.286     -7.590     13.380     -6.450     -5.870     14.100    -10.720
   1285.714     -8.670     14.490     -7.170    -11.210     15.480    -10.380
   1357.143     -9.400     15.850     -7.960     -9.690     19.780    -11.150
   1428.571     -9.990     17.060     -8.840    -11.830     14.120    -13.780
   1500.000    -10.780     18.250     -9.830    -12.130     20.770    -14.770
   1571.429    -11.570     19.750    -10.860    -11.430     25.090    -16.180
   1642.857    -12.410     21.480    -11.800    -13.100     25.990    -12.450
   1714.286    -13.330     23.330    -12.740    -12.240     26.670    -13.400
   1785.714    -14.150     25.190    -13.750    -14.370     25.060    -15.980
   1857.143    -15.230     26.870    -14.860    -19.300     28.730    -15.150
   1928.571    -16.740     29.260    -15.790    -22.190     30.880    -14.990
   2000.000    -18.230     31.640    -16.880    -22.110     34.720    -16.310
   2071.429    -19.840     34.290    -18.010    -21.380     41.330    -15.830
