#         t          x          y          z         vx         vy         vz
      0.000    -98.560   -119.990   -127.760     43.480     95.460    143.580
      0.100    -90.421   -105.912   -108.641    119.306    186.101    238.800
      0.200    -73.221    -81.275    -78.697    224.685    306.642    360.073
      0.300    -40.747    -39.966    -32.796    424.801    519.528    557.943
      0.400     85.088     71.767     51.452   2091.890   1715.138   1127.037
      0.500    291.167    240.698    162.382   2029.687   1663.481   1091.549
      0.600    493.248    406.314    271.046   2011.947   1648.849   1081.731
      0.700    694.028    570.858    378.991   2003.641   1642.013   1077.179
      0.800    894.151    734.861    486.578   1998.833   1638.060   1074.557
      0.900   1093.878    898.538    593.948   1995.699   1635.485   1072.852
      1.000   1293.338   1061.996    701.174   1993.495   1633.674   1071.656
      1.100   1492.605   1225.297    808.295   1991.859   1632.332   1070.769
      1.200   1691.728   1388.478    915.338   1990.598   1631.297   1070.086
      1.300   1890.738   1551.567   1022.319   1989.596   1630.474   1069.544
      1.400   2089.657   1714.580   1129.252   1988.780   1629.804   1069.103
      1.500   2288.501   1877.533   1236.144   1988.103   1629.249   1068.737
      1.600   2487.282   2040.435   1343.002   1987.532   1628.780   1068.428
      1.700   2686.011   2203.293   1449.832   1987.044   1628.380   1068.165
      1.800   2884.695   2366.113   1556.637   1986.622   1628.034   1067.937
      1.900   3083.338   2528.902   1663.420   1986.254   1627.732   1067.739
      2.000   3281.947   2691.662   1770.186   1985.930   1627.466   1067.564
      2.100   3480.526   2854.396   1876.934   1985.642   1627.230   1067.408
      2.200   3679.077   3017.109   1983.668   1985.385   1627.020   1067.270
      2.300   3877.604   3179.801   2090.389   1985.154   1626.830   1067.145
      2.400   4076.109   3342.476   2197.098   1984.945   1626.659   1067.033
      2.500   4274.594   3505.134   2303.796   1984.755   1626.503   1066.930
      2.600   4473.061   3667.777   2410.484   1984.582   1626.361   1066.837
      2.700   4671.511   3830.407   2517.164   1984.424   1626.232   1066.752
      2.800   4869.947   3993.024   2623.835   1984.278   1626.112   1066.673
      2.900   5068.368   4155.630   2730.499   1984.144   1626.002   1066.601
      3.000   5266.776   4318.225   2837.155   1984.020   1625.900   1066.534
      3.100   5465.172   4480.810   2943.806   1983.904   1625.806   1066.472
      3.200   5663.557   4643.386   3050.450   1983.797   1625.718   1066.414
      3.300   5861.932   4805.954   3157.089   1983.697   1625.635   1066.360
      3.400   6060.297   4968.514   3263.722   1983.603   1625.559   1066.310
      3.500   6258.653   5131.066   3370.351   1983.515   1625.487   1066.262
      3.600   6457.000   5293.611   3476.975   1983.433   1625.419   1066.218
      3.700   6655.339   5456.150   3583.595   1983.356   1625.356   1066.176
      3.800   6853.671   5618.683   3690.210   1983.283   1625.296   1066.137
      3.900   7051.996   5781.209   3796.822   1983.214   1625.239   1066.100
      4.000   7250.314   5943.731   3903.430   1983.148   1625.186   1066.065
      4.100   7448.626   6106.247   4010.035   1983.087   1625.135   1066.031
      4.200   7646.932   6268.758   4116.637   1983.028   1625.087   1066.000
      4.300   7845.232   6431.264   4223.235   1982.972   1625.042   1065.970
      4.400   8043.526   6593.766   4329.831   1982.919   1624.998   1065.942
      4.500   8241.816   6756.264   4436.423   1982.869   1624.957   1065.914
      4.600   8440.100   6918.758   4543.014   1982.821   1624.918   1065.889
      4.700   8638.380   7081.247   4649.601   1982.775   1624.880   1065.864
      4.800   8836.655   7243.734   4756.186   1982.731   1624.844   1065.840
      4.900   9034.927   7406.216   4862.769   1982.690   1624.810   1065.818
      5.000   9233.193   7568.696   4969.350   1982.650   1624.777   1065.796
      5.100   9431.457   7731.172   5075.929   1982.611   1624.745   1065.776
      5.200   9629.716   7893.645   5182.505   1982.574   1624.715   1065.756
      5.300   9827.971   8056.115   5289.080   1982.539   1624.686   1065.737
      5.400  10026.224   8218.582   5395.653   1982.505   1624.658   1065.718
      5.500  10224.473   8381.047   5502.224   1982.472   1624.632   1065.701
      5.600  10422.718   8543.509   5608.793   1982.441   1624.606   1065.684
      5.700  10620.961   8705.968   5715.360   1982.411   1624.581   1065.668
      5.800  10819.200   8868.425   5821.926   1982.382   1624.557   1065.652
      5.900  11017.437   9030.879   5928.491   1982.354   1624.534   1065.637
      6.000  11215.671   9193.332   6035.054   1982.326   1624.512   1065.622
      6.100  11413.903   9355.782   6141.615   1982.300   1624.491   1065.608
      6.200  11612.131   9518.230   6248.175   1982.275   1624.470   1065.595
      6.300  11810.358   9680.676   6354.734   1982.251   1624.450   1065.581
      6.400  12008.581   9843.120   6461.292   1982.227   1624.430   1065.569
      6.500  12206.803  10005.562   6567.848   1982.204   1624.412   1065.556
