#         t          x          y          z         vx         vy         vz
      0.000    -98.600   -119.990   -127.780    -28.430    173.920     93.230
      0.100   -101.051   -102.224   -118.012    -20.596    181.405    102.139
      0.200   -102.622    -83.702   -107.295    -10.813    189.040    112.199
      0.300   -103.084    -64.421    -95.505      1.565    196.565    123.595
      0.400   -102.135    -44.420    -82.501     17.425    203.459    136.484
      0.500    -99.366    -23.812    -68.133     37.951    208.707    150.877
      0.600    -94.241     -2.856    -52.272     64.537    210.404    166.347
      0.700    -86.104     17.927    -34.884     98.216    205.253    181.404
      0.800    -74.298     37.622    -16.184    137.898    188.648    192.600
      0.900    -58.524     54.923      3.180    177.575    157.381    194.680
      1.000    -39.297     68.562     22.090    206.966    115.394    183.512
      1.100    -17.918     77.955     39.436    220.630     72.474    163.423
      1.200      4.172     83.359     54.619    221.172     35.594    140.234
      1.300     25.916     85.462     67.518    213.698      6.482    117.746
      1.400     46.706     84.997     78.277    202.113    -15.793     97.430
      1.500     66.247     82.571     87.126    188.699    -32.732     79.537
      1.600     84.415     78.651     94.296    174.655    -45.653     63.867
      1.700    101.177     73.591     99.994    160.580    -55.555     50.099
      1.800    116.543     67.655    104.395    146.755    -63.161     37.923
      1.900    130.546     61.048    107.645    133.299    -68.990     27.072
      2.000    143.223     53.927    109.865    120.246    -73.415     17.327
      2.100    154.615     46.421    111.157    107.591    -76.709      8.512
      2.200    164.760     38.632    111.607     95.305    -79.070      0.485
      2.300    173.693     30.646    111.288     83.352    -80.647     -6.867
      2.400    181.445     22.536    110.262     71.693    -81.552    -13.636
      2.500    188.044     14.366    108.586     60.288    -81.867    -19.897
      2.600    193.513      6.189    106.305     49.097    -81.656    -25.709
      2.700    197.872     -1.942    103.464     38.084    -80.967    -31.124
      2.800    201.137     -9.982    100.098     27.211    -79.835    -36.183
      2.900    203.320    -17.888     96.243     16.441    -78.286    -40.923
      3.000    204.429    -25.619     91.928      5.737    -76.337    -45.374
      3.100    204.468    -33.136     87.181     -4.942    -73.996    -49.563
      3.200    203.439    -40.399     82.028    -15.642    -71.262    -53.514
      3.300    201.336    -47.368     76.490    -26.412    -68.124    -57.246
      3.400    198.151    -54.002     70.589    -37.307    -64.558    -60.774
      3.500    193.866    -60.256     64.345    -48.389    -60.528    -64.107
      3.600    188.460    -66.082     57.777    -59.729    -55.979    -67.247
      3.700    181.903    -71.422     50.905    -71.403    -50.835    -70.188
      3.800    174.158    -76.214     43.750    -83.501    -44.993    -72.913
      3.900    165.177    -80.379     36.335    -96.123    -38.318    -75.387
      4.000    154.902    -83.826     28.688   -109.385    -30.622    -77.556
      4.100    143.261    -86.440     20.843   -123.419    -21.655    -79.331
      4.200    130.171    -88.076     12.849   -138.378    -11.065    -80.569
      4.300    115.531    -88.547      4.768   -154.426      1.651    -81.042
      4.400     99.224    -87.603     -3.301   -171.720     17.225    -80.329
      4.500     81.122    -84.905    -11.197   -190.311     36.740    -77.592
      4.600     61.109    -79.974    -18.665   -209.967     61.871    -71.770
      4.700     39.134    -72.122    -25.282   -229.529     95.182    -60.570
      4.800     15.408    -60.357    -30.289   -244.977    140.112    -39.578
      4.900     -9.052    -43.457    -32.341   -244.225    197.885     -1.468
      5.000    -31.425    -20.971    -29.623   -203.247    251.845     55.844
      5.100    -47.817      4.746    -21.577   -124.586    262.485    105.074
      5.200    -56.711     29.628    -10.054    -53.287    235.151    125.382
      5.300    -59.548     51.248      2.573     -3.472    197.251    127.163
      5.400    -58.225     69.114     14.922     29.949    160.066    119.799
      5.500    -54.088     83.415     26.367     52.782    125.960    109.108
      5.600    -48.016     94.457     36.666     68.654     94.890     96.880
      5.700    -40.600    102.519     45.702     79.675     66.339     83.840
      5.800    -32.261    107.825     53.408     87.092     39.774     70.269
      5.900    -23.324    110.550     59.734     91.652     14.740     56.247
      6.000    -14.051    110.830     64.634     93.809     -9.143     41.755
      6.100     -4.669    108.762     68.057     93.832    -32.217     26.707
      6.200      4.614    104.410     69.939     91.835    -54.827     10.933
      6.300     13.594     97.801     70.193     87.753    -77.351     -5.848
      6.400     22.044     88.924     68.697     81.264   -100.200    -24.067
      6.500     29.691     77.724     65.276     71.665   -123.787    -44.358
      6.600     36.155     64.111     59.675     57.613   -148.482    -67.651
      6.700     40.863     47.966     51.526     36.550   -174.406    -95.343
      6.800     42.854     29.214     40.282      3.271   -200.637   -129.527
      6.900     40.333      8.106     25.179    -53.695   -221.525   -172.531
      7.000     29.835    -13.402      5.666   -156.267   -208.636   -217.739
      7.100      9.319    -28.704    -14.430   -254.039    -97.399   -184.188
      7.200    -15.389    -33.781    -29.304   -240.129     -4.142   -113.280
      7.300    -37.201    -31.767    -37.956   -196.106     44.417    -59.772
      7.400    -54.472    -26.038    -41.981   -149.314     70.165    -20.719
      7.500    -67.135    -18.346    -42.552   -103.944     83.676      9.294
      7.600    -75.329     -9.690    -40.418    -59.935     89.438     33.390
      7.700    -79.149     -0.748    -36.085    -16.483     89.399     53.278
      7.800    -78.600      7.939    -29.921     27.467     84.344     69.987
      7.900    -73.547     15.861    -22.212     73.605     74.107     84.191
      8.000    -63.632     22.408    -13.207    124.682     56.820     95.909
      8.100    -48.153     26.599     -3.240    184.899     27.015    103.444
      8.200    -25.929     26.396      6.657    259.575    -31.087     94.486
      8.300      3.258     16.780     12.659    324.167   -161.232     25.554
